Artist,Number of weeks in top ten,Peak,Peak date,Title,Top ten entry date,Year
Miss Toni Fisher,8,3,28-Dec,The Big Hurt,14-Dec,1959
Connie Francis,5,7,28-Dec,Among My Souvenirs,21-Dec,1959
Fabian,2,9,28-Dec,Hound Dog Man,21-Dec,1959
Marty Robbins,9,1,4-Jan,El Paso,21-Dec,1960
Freddy Cannon,7,3,11-Jan,Way Down Yonder in New Orleans,21-Dec,1960
Steve Lawrence,6,9,4-Jan,Pretty Blue Eyes,28-Dec,1960
Jimmy Clanton,5,5,1-Feb,"Go, Jimmy, Go",4-Jan,1960
Johnny Preston,10,1,18-Jan,Running Bear,4-Jan,1960
Andy Williams,2,7,25-Jan,The Village of St. Bernadette,18-Jan,1960
Mark Dinning,10,1,8-Feb,Teen Angel,18-Jan,1960
Dion and the Belmonts,5,3,8-Feb,Where or When,25-Jan,1960
Jimmy Jones,9,2,29-Feb,Handy Man,1-Feb,1960
Conway Twitty,3,6,8-Feb,Lonely Blue Boy,8-Feb,1960
Jack Scott,7,5,22-Feb,What in the World's Come Over You,8-Feb,1960
Jim Reeves,12,2,7-Mar,He'll Have to Go,8-Feb,1960
Marv Johnson,1,10,8-Feb,You Got What It Takes,8-Feb,1960
Percy Faith,12,1,22-Feb,Theme from A Summer Place,15-Feb,1960
The Everly Brothers,4,7,22-Feb,Let It Be Me,15-Feb,1960
Bobby Darin,4,6,29-Feb,Beyond the Sea,22-Feb,1960
Bobby Rydell,8,2,28-Mar,Wild One,29-Feb,1960
Dinah Washington and Brook Benton,6,5,21-Mar,Baby (You've Got What It Takes),29-Feb,1960
The Platters,4,8,28-Mar,Harbor Lights,14-Mar,1960
Paul Anka,7,2,4-Apr,Puppy Love,14-Mar,1960
Brenda Lee,7,4,18-Apr,Sweet Nothin's,21-Mar,1960
Annette,1,10,28-Mar,"O, Dio Mio",28-Mar,1960
The Little Dippers,1,9,28-Mar,Forever,28-Mar,1960
Johnny Horton,7,3,25-Apr,Sink the Bismarck,4-Apr,1960
Steve Lawrence,2,7,4-Apr,Footsteps,4-Apr,1960
Connie Francis,3,8,11-Apr,Mama,4-Apr,1960
The Brothers Four,9,2,18-Apr,Greenfields,11-Apr,1960
Marv Johnson,1,9,11-Apr,I Love the Way You Love,11-Apr,1960
Elvis Presley,10,1,25-Apr,Stuck on You,18-Apr,1960
Connie Stevens,7,3,2-May,Sixteen Reasons,18-Apr,1960
The Browns,3,5,2-May,The Old Lamplighter,25-Apr,1960
Bill Black's Combo,1,9,25-Apr,White Silver Sands,25-Apr,1960
Jackie Wilson,6,4,9-May,Night,2-May,1960
Johnny Preston,5,7,2-May,Cradle of Love,2-May,1960
Billy Bland,4,7,16-May,Let the Little Girl Dance,2-May,1960
Neil Sedaka,1,9,9-May,Stairway to Heaven,9-May,1960
The Everly Brothers,9,1,23-May,Cathy's Clown,9-May,1960
Jimmy Jones,7,3,23-May,Good Timin',16-May,1960
Jeanne Black,6,4,30-May,He'll Have to Stay,16-May,1960
Anita Bryant,6,5,13-Jun,Paper Roses,23-May,1960
Jack Scott,6,3,13-Jun,Burning Bridges,30-May,1960
Connie Francis,8,1,27-Jun,Everybody's Somebody's Fool,6-Jun,1960
Ron Holden,3,7,13-Jun,Love You So,6-Jun,1960
Bobby Rydell,3,5,20-Jun,Swingin' School,13-Jun,1960
Paul Evans,1,10,13-Jun,Happy-Go-Lucky Me,13-Jun,1960
The Hollywood Argyles,8,1,11-Jul,Alley Oop,20-Jun,1960
Duane Eddy,4,4,4-Jul,Because They're Young,27-Jun,1960
Brenda Lee,11,1,18-Jul,I'm Sorry,27-Jun,1960
Dinah Washington and Brook Benton,3,7,27-Jun,A Rockin' Good Way,27-Jun,1960
Brenda Lee,5,6,4-Jul,That's All You Gotta Do,4-Jul,1960
Paul Anka,2,8,4-Jul,My Home Town,4-Jul,1960
The Fendermen,5,5,11-Jul,Mule Skinner Blues,4-Jul,1960
Roy Orbison,8,2,25-Jul,Only the Lonely,11-Jul,1960
The Everly Brothers,2,8,18-Jul,When Will I Be Loved,11-Jul,1960
Ray Peterson,5,7,1-Aug,Tell Laura I Love Her,18-Jul,1960
Brian Hyland,8,1,8-Aug,Itsy Bitsy Teenie Weenie Yellow Polka Dot Bikini,18-Jul,1960
The Safaris,5,6,1-Aug,Image of a Girl,25-Jul,1960
Hank Locklin,3,8,1-Aug,"Please Help Me, I'm Falling",25-Jul,1960
Elvis Presley,11,1,15-Aug,It's Now or Never,1-Aug,1960
The Ventures,9,2,29-Aug,"Walk, Don't Run",8-Aug,1960
Fats Domino,2,6,15-Aug,Walkin' to New Orleans,8-Aug,1960
Hank Ballard & The Midnighters,4,7,15-Aug,Finger Poppin' Time,15-Aug,1960
Chubby Checker,12,1,19-Sep,The Twist,15-Aug,1960
Bobby Rydell,5,4,5-Sep,Volare,22-Aug,1960
Donnie Brooks,4,7,5-Sep,Mission Bell,22-Aug,1960
Anita Bryant,1,10,29-Aug,In My Little Corner of the World,29-Aug,1960
Connie Francis,10,1,26-Sep,My Heart Has a Mind of Its Own,5-Sep,1960
Ferrante & Teicher,3,10,5-Sep,Theme from The Apartment,5-Sep,1960
Larry Verne,7,1,10-Oct,Mr. Custer,12-Sep,1960
Sam Cooke,8,2,3-Oct,Chain Gang,12-Sep,1960
Brook Benton,4,7,19-Sep,Kiddio,12-Sep,1960
The Ivy Three,2,8,19-Sep,Yogi,12-Sep,1960
Jimmy Charles,5,5,26-Sep,A Million to One,19-Sep,1960
The Everly Brothers,5,7,10-Oct,So Sad (To Watch Good Love Go Bad),26-Sep,1960
The Drifters,9,1,17-Oct,Save the Last Dance for Me,26-Sep,1960
Bobby Vee,5,6,17-Oct,Devil or Angel,10-Oct,1960
Brenda Lee,6,1,24-Oct,I Want to Be Wanted,10-Oct,1960
Bob Luman,2,7,24-Oct,Let's Think About Living,24-Oct,1960
Joe Jones,4,3,14-Nov,You Talk Too Much,31-Oct,1960
Johnny Tillotson,7,2,14-Nov,Poetry in Motion,31-Oct,1960
Ray Charles,5,1,14-Nov,Georgia on My Mind,31-Oct,1960
Maurice Williams & the Zodiacs,5,1,21-Nov,Stay,7-Nov,1960
Hank Ballard & the Midnighters,5,6,21-Nov,"Let's Go, Let's Go, Let's Go",7-Nov,1960
Roy Orbison,2,9,7-Nov,Blue Angel,7-Nov,1960
Floyd Cramer,10,2,28-Nov,Last Date,14-Nov,1960
