Artist,Number of weeks in top ten,Peak,Peak date,Title,Top ten entry date,Year
Donna Summer,1,10,25-Sep,Love Is in Control (Finger on the Trigger),25-Sep,1982
Michael McDonald,7,4,23-Oct,I Keep Forgettin' (Every Time You're Near),2-Oct,1982
America,6,8,16-Oct,You Can Do Magic,9-Oct,1982
A Flock of Seagulls,4,9,23-Oct,I Ran (So Far Away),9-Oct,1982
Olivia Newton-John,7,3,6-Nov,Heart Attack,16-Oct,1982
Joe Cocker and Jennifer Warnes,7,1,6-Nov,Up Where We Belong,23-Oct,1982
Neil Diamond,6,5,13-Nov,Heartlight,30-Oct,1982
Lionel Richie,10,1,27-Nov,Truly,6-Nov,1982
Laura Branigan,10,2,27-Nov,Gloria,6-Nov,1982
Diana Ross,6,10,13-Nov,Muscles,13-Nov,1982
Toni Basil,10,1,11-Dec,Mickey,20-Nov,1982
Hall & Oates,13,1,18-Dec,Maneater,20-Nov,1982
Joe Jackson,8,6,11-Dec,Steppin' Out,20-Nov,1982
Stray Cats,5,9,11-Dec,Rock This Town,11-Dec,1982
Michael Jackson and Paul McCartney,10,2,8-Jan,The Girl Is Mine,27-Nov,1983
Don Henley,10,3,8-Jan,Dirty Laundry,4-Dec,1983
Marvin Gaye,10,3,29-Jan,Sexual Healing,11-Dec,1983
Men at Work,10,1,15-Jan,Down Under,25-Dec,1983
Toto,6,1,5-Feb,Africa,15-Jan,1983
Patti Austin and James Ingram,9,1,19-Feb,"Baby, Come to Me",15-Jan,1983
The Clash,5,8,22-Jan,Rock the Casbah,15-Jan,1983
Dionne Warwick,2,10,15-Jan,Heartbreaker,15-Jan,1983
Bob Seger & The Silver Bullet Band,8,2,26-Feb,Shame on the Moon,29-Jan,1983
Eddie Rabbitt and Crystal Gayle,6,7,12-Feb,You and I,29-Jan,1983
Phil Collins,3,10,5-Feb,You Can't Hurry Love,5-Feb,1983
Stray Cats,5,3,26-Feb,Stray Cat Strut,12-Feb,1983
Michael Jackson,11,1,5-Mar,Billie Jean,19-Feb,1983
Culture Club,9,2,26-Mar,Do You Really Want to Hurt Me,19-Feb,1983
Duran Duran,9,3,26-Mar,Hungry Like the Wolf,19-Feb,1983
Kenny Rogers and Sheena Easton,7,6,26-Mar,We've Got Tonight,26-Feb,1983
Musical Youth,2,10,26-Feb,Pass the Dutchie,26-Feb,1983
The Pretenders,5,5,19-Mar,Back on the Chain Gang,5-Mar,1983
Lionel Richie,4,4,26-Mar,You Are,12-Mar,1983
Journey,7,8,19-Mar,Separate Ways (Worlds Apart),12-Mar,1983
Hall & Oates,6,7,9-Apr,One on One,19-Mar,1983
Styx,8,3,16-Apr,Mr. Roboto,19-Mar,1983
Golden Earring,2,10,26-Mar,Twilight Zone,26-Mar,1983
Dexys Midnight Runners,6,1,23-Apr,Come On Eileen,9-Apr,1983
The Greg Kihn Band,7,2,7-May,Jeopardy,9-Apr,1983
Michael Jackson,10,1,30-Apr,Beat It,9-Apr,1983
After the Fire,5,5,30-Apr,Der Kommissar,16-Apr,1983
David Bowie,10,1,21-May,Let's Dance,23-Apr,1983
Thomas Dolby,8,5,14-May,She Blinded Me with Science,23-Apr,1983
Men at Work,8,3,4-Jun,Overkill,30-Apr,1983
Prince,6,6,21-May,Little Red Corvette,30-Apr,1983
Toto,1,10,7-May,I Won't Hold You Back,7-May,1983
Irene Cara,14,1,28-May,Flashdance... What a Feeling,14-May,1983
Laura Branigan,4,7,21-May,Solitaire,14-May,1983
Lionel Richie,5,5,11-Jun,My Love,21-May,1983
Culture Club,9,2,18-Jun,Time (Clock of the Heart),21-May,1983
Bryan Adams,2,10,28-May,Straight from the Heart,28-May,1983
Naked Eyes,2,8,11-Jun,Always Something There to Remind Me,11-Jun,1983
Styx,5,6,2-Jul,Don't Let It End,11-Jun,1983
Rick Springfield,3,9,18-Jun,Affair of the Heart,11-Jun,1983
Eddy Grant,8,2,2-Jul,Electric Avenue,18-Jun,1983
Hall & Oates,3,6,25-Jun,Family Man,18-Jun,1983
The Police,13,1,9-Jul,Every Breath You Take,25-Jun,1983
Sérgio Mendes,8,4,9-Jul,Never Gonna Let You Go,25-Jun,1983
Kajagoogoo,4,5,9-Jul,Too Shy,25-Jun,1983
Michael Jackson,6,5,16-Jul,Wanna Be Startin' Somethin',2-Jul,1983
The Tubes,1,10,2-Jul,She's a Beauty,2-Jul,1983
The Kinks,3,6,16-Jul,Come Dancing,9-Jul,1983
Madness,4,7,23-Jul,Our House,9-Jul,1983
Duran Duran,6,4,6-Aug,Is There Something I Should Know?,16-Jul,1983
Stevie Nicks,6,5,20-Aug,Stand Back,23-Jul,1983
Donna Summer,8,3,6-Aug,She Works Hard for the Money,23-Jul,1983
Eurythmics,9,1,3-Sep,Sweet Dreams (Are Made of This),30-Jul,1983
Michael Sembello,9,1,10-Sep,Maniac,6-Aug,1983
Men at Work,4,6,20-Aug,It's a Mistake,13-Aug,1983
The Human League,3,8,20-Aug,(Keep Feeling) Fascination,13-Aug,1983
Taco,6,4,3-Sep,Puttin' on the Ritz,20-Aug,1983
Culture Club,4,9,27-Aug,I'll Tumble 4 Ya,20-Aug,1983
David Bowie,1,10,27-Aug,China Girl,27-Aug,1983
Men Without Hats,7,3,10-Sep,The Safety Dance,3-Sep,1983
Billy Joel,7,1,24-Sep,Tell Her About It,3-Sep,1983
Michael Jackson,4,7,17-Sep,Human Nature,3-Sep,1983
Bonnie Tyler,11,1,1-Oct,Total Eclipse of the Heart,10-Sep,1983
Air Supply,9,2,8-Oct,Making Love Out of Nothing at All,17-Sep,1983
Asia,2,10,17-Sep,Don't Cry,17-Sep,1983
Stray Cats,4,5,1-Oct,(She's) Sexy + 17,24-Sep,1983
The Police,5,3,8-Oct,King of Pain,1-Oct,1983
Spandau Ballet,6,4,8-Oct,TRUE,1-Oct,1983
Kenny Rogers and Dolly Parton,12,1,29-Oct,Islands in the Stream,1-Oct,1983
Frank Stallone,2,10,1-Oct,Far from Over,1-Oct,1983
The Fixx,7,4,5-Nov,One Thing Leads to Another,8-Oct,1983
Lionel Richie,13,1,12-Nov,All Night Long (All Night),15-Oct,1983
Prince,4,8,22-Oct,Delirious,22-Oct,1983
Talking Heads,1,9,22-Oct,Burning Down the House,22-Oct,1983
Sheena Easton,3,9,29-Oct,Telefone (Long Distance Love Affair),22-Oct,1983
Billy Joel,10,3,12-Nov,Uptown Girl,29-Oct,1983
Paul McCartney and Michael Jackson,13,1,10-Dec,Say Say Say,5-Nov,1983
Quiet Riot,5,5,19-Nov,Cum on Feel the Noize,12-Nov,1983
The Motels,2,9,19-Nov,Suddenly Last Summer,12-Nov,1983
Pat Benatar,7,5,10-Dec,Love Is a Battlefield,19-Nov,1983
Hall & Oates,10,2,17-Dec,Say It Isn't So,19-Nov,1983
Huey Lewis and the News,2,8,26-Nov,Heart and Soul,26-Nov,1983
John Cougar Mellencamp,3,9,26-Nov,Crumblin' Down,26-Nov,1983
Michael Jackson,1,10,26-Nov,P.Y.T. (Pretty Young Thing),26-Nov,1983
Culture Club,3,10,3-Dec,Church of the Poison Mind,3-Dec,1983
Duran Duran,6,3,24-Dec,Union of the Snake,10-Dec,1983
The Rolling Stones,3,9,24-Dec,Undercover of the Night,24-Dec,1983
Yes,10,1,21-Jan,Owner of a Lonely Heart,17-Dec,1984
Olivia Newton-John,7,5,7-Jan,Twist of Fate,17-Dec,1984
Matthew Wilder,7,5,21-Jan,Break My Stride,24-Dec,1984
The Romantics,7,3,28-Jan,Talking in Your Sleep,7-Jan,1984
Elton John,6,4,28-Jan,I Guess That's Why They Call It the Blues,7-Jan,1984
Culture Club,9,1,4-Feb,Karma Chameleon,14-Jan,1984
Lionel Richie,5,7,4-Feb,Running with the Night,14-Jan,1984
Kool & the Gang,6,2,11-Feb,Joanna,21-Jan,1984
Genesis,4,6,11-Feb,That's All,28-Jan,1984
Christopher Cross,2,9,4-Feb,Think of Laura,4-Feb,1984
John Cougar Mellencamp,2,8,11-Feb,Pink Houses,4-Feb,1984
Van Halen,10,1,25-Feb,Jump,11-Feb,1984
Nena,6,2,3-Mar,99 Luftballons,18-Feb,1984
Michael Jackson,5,4,3-Mar,Thriller,18-Feb,1984
Cyndi Lauper,8,2,10-Mar,Girls Just Want to Have Fun,18-Feb,1984
Shannon,3,8,25-Feb,Let the Music Play,18-Feb,1984
John Lennon,4,5,3-Mar,Nobody Told Me,25-Feb,1984
The Police,2,8,3-Mar,Wrapped Around Your Finger,25-Feb,1984
Billy Joel,1,10,25-Feb,An Innocent Man,25-Feb,1984
Rockwell,8,2,24-Mar,Somebody's Watching Me,3-Mar,1984
Huey Lewis and the News,5,6,24-Mar,I Want a New Drug,3-Mar,1984
Eurythmics,7,4,31-Mar,Here Comes the Rain Again,10-Mar,1984
Kenny Loggins,11,1,31-Mar,Footloose,10-Mar,1984
Duran Duran,1,10,17-Mar,New Moon on Monday,17-Mar,1984
The Pointer Sisters,6,5,14-Apr,Automatic,24-Mar,1984
Hall & Oates,4,8,7-Apr,Adult Education,24-Mar,1984
Christine McVie,1,10,24-Mar,Got a Hold on Me,24-Mar,1984
Phil Collins,10,1,21-Apr,Against All Odds (Take a Look at Me Now),31-Mar,1984
Culture Club,6,5,21-Apr,Miss Me Blind,31-Mar,1984
Lionel Richie,10,1,12-May,Hello,7-Apr,1984
Thompson Twins,7,3,5-May,Hold Me Now,14-Apr,1984
Rick Springfield,5,5,5-May,Love Somebody,21-Apr,1984
Tracey Ullman,3,8,28-Apr,They Don't Know,21-Apr,1984
The Cars,4,7,28-Apr,You Might Think,28-Apr,1984
Julio Iglesias and Willie Nelson,6,5,19-May,To All the Girls I've Loved Before,28-Apr,1984
Deniece Williams,9,1,26-May,Let's Hear It for the Boy,5-May,1984
Cyndi Lauper,9,1,9-Jun,Time After Time,12-May,1984
Steve Perry,7,3,9-Jun,Oh Sherrie,12-May,1984
Duran Duran,8,1,23-Jun,The Reflex,26-May,1984
Night Ranger,4,5,9-Jun,Sister Christian,26-May,1984
Irene Cara,3,8,9-Jun,Breakdance,26-May,1984
Huey Lewis and the News,7,6,9-Jun,The Heart of Rock & Roll,2-Jun,1984
Laura Branigan,6,4,30-Jun,Self Control,9-Jun,1984
The Pointer Sisters,8,3,7-Jul,Jump (For My Love),9-Jun,1984
Bruce Springsteen,9,2,30-Jun,Dancing in the Dark,16-Jun,1984
Madonna,1,10,16-Jun,Borderline,16-Jun,1984
Prince,11,1,7-Jul,When Doves Cry,23-Jun,1984
Billy Idol,6,4,14-Jul,Eyes Without a Face,23-Jun,1984
Mike Reno and Ann Wilson,4,7,14-Jul,Almost Paradise...Love Theme from Footloose,30-Jun,1984
ZZ Top,4,8,21-Jul,Legs,7-Jul,1984
"Ray Parker, Jr.",10,1,11-Aug,Ghostbusters,14-Jul,1984
The Jacksons featuring Mick Jagger,6,3,4-Aug,State of Shock,21-Jul,1984
Elton John,5,5,11-Aug,Sad Songs (Say So Much),21-Jul,1984
Rod Stewart,4,6,28-Jul,Infatuation,21-Jul,1984
Tina Turner,10,1,1-Sep,What's Love Got to Do with It,28-Jul,1984
Lionel Richie,7,3,25-Aug,Stuck on You,4-Aug,1984
Ollie & Jerry,1,9,4-Aug,Breakin'... There's No Stopping Us,4-Aug,1984
Dan Hartman,4,6,18-Aug,I Can Dream About You,4-Aug,1984
Corey Hart,5,7,1-Sep,Sunglasses at Night,11-Aug,1984
John Waite,9,1,22-Sep,Missing You,18-Aug,1984
Peabo Bryson,3,10,18-Aug,If Ever You're in My Arms Again,18-Aug,1984
Cyndi Lauper,8,3,8-Sep,She Bop,25-Aug,1984
Prince and the Revolution,9,1,29-Sep,Let's Go Crazy,1-Sep,1984
Huey Lewis and the News,4,6,15-Sep,If This Is It,1-Sep,1984
Scandal featuring Patty Smyth,5,7,22-Sep,The Warrior,8-Sep,1984
The Cars,7,3,29-Sep,Drive,8-Sep,1984
Sheila E.,5,7,6-Oct,The Glamorous Life,15-Sep,1984
Stevie Wonder,10,1,13-Oct,I Just Called to Say I Love You,22-Sep,1984
Bananarama,2,9,29-Sep,Cruel Summer,22-Sep,1984
Bruce Springsteen,4,7,20-Oct,Cover Me,29-Sep,1984
Chicago,6,3,20-Oct,Hard Habit to Break,6-Oct,1984
Madonna,5,4,20-Oct,Lucky Star,6-Oct,1984
Billy Ocean,7,1,3-Nov,Caribbean Queen (No More Love on the Run),13-Oct,1984
John Cafferty and the Beaver Brown Band,3,7,27-Oct,On the Dark Side,20-Oct,1984
Prince and the Revolution,7,2,17-Nov,Purple Rain,20-Oct,1984
The Pointer Sisters,2,9,27-Oct,I'm So Excited,20-Oct,1984
Wham!,8,1,17-Nov,Wake Me Up Before You Go-Go,27-Oct,1984
Rod Stewart,1,10,27-Oct,Some Guys Have All the Luck,27-Oct,1984
David Bowie,2,8,3-Nov,Blue Jean,3-Nov,1984
Tina Turner,5,5,24-Nov,Better Be Good to Me,3-Nov,1984
Chaka Khan,9,3,24-Nov,I Feel for You,3-Nov,1984
Hall & Oates,9,1,8-Dec,Out of Touch,10-Nov,1984
Dennis DeYoung,1,10,10-Nov,Desert Moon,10-Nov,1984
Sheena Easton,3,7,24-Nov,Strut,17-Nov,1984
Cyndi Lauper,5,5,8-Dec,All Through the Night,17-Nov,1984
Lionel Richie,4,8,1-Dec,Penny Lover,17-Nov,1984
Duran Duran,8,2,15-Dec,The Wild Boys,1-Dec,1984
Paul McCartney,5,6,8-Dec,No More Lonely Nights,1-Dec,1984
Madonna,9,1,22-Dec,Like a Virgin,15-Dec,1984
Pat Benatar,7,5,5-Jan,We Belong,8-Dec,1985
New Edition,6,4,5-Jan,Cool It Now,8-Dec,1985
The Honeydrippers,6,3,5-Jan,Sea of Love,8-Dec,1985
Jack Wagner,6,2,12-Jan,All I Need,22-Dec,1985
Julian Lennon,4,9,12-Jan,Valotte,22-Dec,1985
Bryan Adams,4,6,19-Jan,Run to You,5-Jan,1985
Chicago,6,3,19-Jan,You're the Inspiration,5-Jan,1985
Bruce Springsteen,2,9,19-Jan,Born in the U.S.A.,12-Jan,1985
Foreigner,8,1,2-Feb,I Want to Know What Love Is,19-Jan,1985
Philip Bailey and Phil Collins,7,2,2-Feb,Easy Lover,19-Jan,1985
Wham! featuring George Michael,9,1,16-Feb,Careless Whisper,19-Jan,1985
Don Henley,4,5,9-Feb,The Boys of Summer,26-Jan,1985
Billy Ocean,6,2,23-Feb,Loverboy,26-Jan,1985
Prince and the Revolution,3,8,2-Feb,I Would Die 4 U,26-Jan,1985
Hall & Oates,4,5,16-Feb,Method of Modern Love,2-Feb,1985
The Pointer Sisters,6,6,16-Feb,Neutron Dance,2-Feb,1985
REO Speedwagon,8,1,9-Mar,Can't Fight This Feeling,16-Feb,1985
Glenn Frey,6,2,16-Mar,The Heat Is On,16-Feb,1985
David Lee Roth,5,3,2-Mar,California Girls,16-Feb,1985
Sheena Easton,3,9,2-Mar,Sugar Walls,23-Feb,1985
John Fogerty,1,10,2-Mar,The Old Man Down the Road,2-Mar,1985
Madonna,6,2,23-Mar,Material Girl,9-Mar,1985
Julian Lennon,5,5,23-Mar,Too Late for Goodbyes,9-Mar,1985
Kool & the Gang,1,10,9-Mar,Misled,9-Mar,1985
Phil Collins,6,1,30-Mar,One More Night,16-Mar,1985
Teena Marie,5,4,30-Mar,Lovergirl,16-Mar,1985
Tina Turner,3,7,23-Mar,Private Dancer,16-Mar,1985
Frankie Goes to Hollywood,2,10,16-Mar,Relax,16-Mar,1985
Survivor,2,8,23-Mar,High on You,23-Mar,1985
Journey,1,9,23-Mar,Only the Young,23-Mar,1985
USA for Africa,8,1,13-Apr,We Are the World,30-Mar,1985
Madonna,9,1,11-May,Crazy for You,30-Mar,1985
Commodores,6,3,20-Apr,Nightshift,30-Mar,1985
Bruce Springsteen,4,6,13-Apr,I'm on Fire,6-Apr,1985
DeBarge,7,3,27-Apr,Rhythm of the Night,6-Apr,1985
Animotion,5,6,4-May,Obsession,13-Apr,1985
Diana Ross,2,10,13-Apr,Missing You,13-Apr,1985
Simple Minds,8,1,18-May,Don't You (Forget About Me),20-Apr,1985
Murray Head,6,3,18-May,One Night in Bangkok,20-Apr,1985
The Power Station,5,6,11-May,Some Like It Hot,27-Apr,1985
Don Henley,2,9,4-May,All She Wants to Do Is Dance,27-Apr,1985
Sade,5,5,18-May,Smooth Operator,4-May,1985
Wham!,6,1,25-May,Everything She Wants,11-May,1985
Tears for Fears,8,1,8-Jun,Everybody Wants to Rule the World,11-May,1985
Harold Faltermeyer,5,3,1-Jun,Axel F,18-May,1985
Billy Ocean,4,4,8-Jun,Suddenly,25-May,1985
Howard Jones,6,5,15-Jun,Things Can Only Get Better,25-May,1985
Bryan Adams,6,1,22-Jun,Heaven,1-Jun,1985
Mary Jane Girls,5,7,8-Jun,In My House,1-Jun,1985
Kool & the Gang,2,9,8-Jun,Fresh,1-Jun,1985
Katrina and the Waves,3,9,22-Jun,Walking on Sunshine,8-Jun,1985
Phil Collins,6,1,6-Jul,Sussudio,15-Jun,1985
Madonna,4,5,29-Jun,Angel,15-Jun,1985
Prince and the Revolution,6,2,20-Jul,Raspberry Beret,22-Jun,1985
Duran Duran,6,1,13-Jul,A View to a Kill,22-Jun,1985
Survivor,5,4,13-Jul,The Search Is Over,22-Jun,1985
Eurythmics,4,5,13-Jul,Would I Lie to You?,29-Jun,1985
Whitney Houston,6,3,27-Jul,You Give Good Love,6-Jul,1985
Paul Young,8,1,27-Jul,Everytime You Go Away,6-Jul,1985
'Til Tuesday,2,8,13-Jul,Voices Carry,6-Jul,1985
Bruce Springsteen,5,5,3-Aug,Glory Days,13-Jul,1985
Cyndi Lauper,1,10,13-Jul,The Goonies 'R' Good Enough,13-Jul,1985
Sting,6,3,3-Aug,If You Love Somebody Set Them Free,20-Jul,1985
Tears for Fears,7,1,3-Aug,Shout,20-Jul,1985
Night Ranger,2,8,27-Jul,Sentimental Street,27-Jul,1985
Corey Hart,6,3,17-Aug,Never Surrender,27-Jul,1985
The Power Station,3,9,3-Aug,Get It On (Bang a Gong),27-Jul,1985
Huey Lewis and the News,8,1,24-Aug,The Power of Love,3-Aug,1985
DeBarge,3,6,10-Aug,Who's Holding Donna Now,3-Aug,1985
Aretha Franklin,6,3,31-Aug,Freeway of Love,10-Aug,1985
John Parr,7,1,7-Sep,St. Elmo's Fire (Man in Motion),17-Aug,1985
Bryan Adams,4,5,31-Aug,Summer of '69,17-Aug,1985
Tina Turner,6,2,14-Sep,We Don't Need Another Hero (Thunderdome),17-Aug,1985
Heart,1,10,24-Aug,What About Love,24-Aug,1985
Kool & the Gang,7,2,21-Sep,Cherish,31-Aug,1985
Billy Joel,2,9,31-Aug,You're Only Human (Second Wind),31-Aug,1985
Dire Straits,8,1,21-Sep,Money for Nothing,31-Aug,1985
Phil Collins,4,4,28-Sep,Don't Lose My Number,7-Sep,1985
Prince and the Revolution,3,7,21-Sep,Pop Life,7-Sep,1985
Wham!,4,3,28-Sep,Freedom,14-Sep,1985
Pat Benatar,1,10,14-Sep,Invincible (Theme from The Legend of Billie Jean),14-Sep,1985
Ready for the World,6,1,12-Oct,Oh Sheila,21-Sep,1985
Madonna,4,5,5-Oct,Dress You Up,21-Sep,1985
A-ha,7,1,19-Oct,Take On Me,28-Sep,1985
Whitney Houston,7,1,26-Oct,Saving All My Love for You,28-Sep,1985
John Cougar Mellencamp,5,6,12-Oct,Lonely Ol' Night,28-Sep,1985
Mick Jagger and David Bowie,3,7,12-Oct,Dancing in the Street,5-Oct,1985
Stevie Wonder,8,1,2-Nov,Part-Time Lover,5-Oct,1985
Jan Hammer,7,1,9-Nov,Miami Vice Theme,12-Oct,1985
Sting,3,8,26-Oct,Fortress Around Your Heart,19-Oct,1985
Tears for Fears,6,3,9-Nov,Head Over Heels,19-Oct,1985
Bruce Springsteen,1,9,26-Oct,I'm Goin' Down,26-Oct,1985
Glenn Frey,7,2,16-Nov,You Belong to the City,26-Oct,1985
Starship,7,1,16-Nov,We Built This City,2-Nov,1985
Loverboy,1,9,2-Nov,Lovin' Every Minute of It,2-Nov,1985
ABC,3,9,9-Nov,Be Near Me,2-Nov,1985
Phil Collins and Marilyn Martin,9,1,30-Nov,Separate Lives,9-Nov,1985
Thompson Twins,4,6,23-Nov,Lay Your Hands on Me,9-Nov,1985
Mr. Mister,9,1,7-Dec,Broken Wings,16-Nov,1985
Heart,5,4,7-Dec,Never,16-Nov,1985
Aretha Franklin,3,7,30-Nov,Who's Zoomin' Who,23-Nov,1985
Arcadia,6,6,14-Dec,Election Day,30-Nov,1985
Eddie Murphy,9,2,28-Dec,Party All the Time,30-Nov,1985
ZZ Top,4,8,14-Dec,Sleeping Bag,30-Nov,1985
Lionel Richie,9,1,21-Dec,"Say You, Say Me",7-Dec,1985
Simple Minds,6,3,28-Dec,Alive and Kicking,14-Dec,1985
Klymaxx,7,5,28-Dec,I Miss You,14-Dec,1985
John Cougar Mellencamp,5,6,28-Dec,Small Town,21-Dec,1985
Dionne and Friends,10,1,18-Jan,That's What Friends Are For,21-Dec,1986
The Cars,4,7,January 11[1],Tonight She Comes,28-Dec,1986
Stevie Nicks,5,4,25-Jan,Talk to Me,11-Jan,1986
Dire Straits,4,7,25-Jan,Walk of Life,11-Jan,1986
Survivor,6,2,1-Feb,Burning Heart,18-Jan,1986
Wham!,4,3,1-Feb,I'm Your Man,25-Jan,1986
Bruce Springsteen,2,6,25-Jan,My Hometown,25-Jan,1986
Paul McCartney,3,7,8-Feb,Spies Like Us,25-Jan,1986
Billy Ocean,5,2,15-Feb,"When the Going Gets Tough, the Tough Get Going",1-Feb,1986
Stevie Wonder,1,10,1-Feb,Go Home,1-Feb,1986
Whitney Houston,6,1,15-Feb,How Will I Know,8-Feb,1986
Mr. Mister,7,1,1-Mar,Kyrie,8-Feb,1986
James Brown,5,4,1-Mar,Living in America,8-Feb,1986
Miami Sound Machine,2,10,8-Feb,Conga,8-Feb,1986
Sade,4,5,1-Mar,The Sweetest Taboo,15-Feb,1986
Starship,7,1,15-Mar,Sara,15-Feb,1986
The Dream Academy,3,7,22-Feb,Life in a Northern Town,22-Feb,1986
Mike + the Mechanics,4,6,8-Mar,Silent Running (On Dangerous Ground),22-Feb,1986
Atlantic Starr,6,3,22-Mar,Secret Lovers,1-Mar,1986
Heart,6,1,22-Mar,These Dreams,1-Mar,1986
Thompson Twins,3,8,22-Mar,King for a Day,8-Mar,1986
John Cougar Mellencamp,5,2,5-Apr,R.O.C.K. in the U.S.A. (A Salute to 60's Rock),15-Mar,1986
Falco,7,1,29-Mar,Rock Me Amadeus,15-Mar,1986
Elton John,4,7,22-Mar,Nikita,15-Mar,1986
INXS,5,5,12-Apr,What You Need,22-Mar,1986
Prince and the Revolution,7,1,19-Apr,Kiss,22-Mar,1986
Sly Fox,4,7,12-Apr,Let's Go All the Way,29-Mar,1986
Loverboy,1,10,29-Mar,This Could Be the Night,29-Mar,1986
The Bangles,5,2,19-Apr,Manic Monday,5-Apr,1986
Robert Palmer,7,1,3-May,Addicted to Love,5-Apr,1986
Pet Shop Boys,7,1,10-May,West End Girls,12-Apr,1986
The Rolling Stones,5,5,3-May,Harlem Shuffle,12-Apr,1986
Force M.D.'s,2,10,12-Apr,Tender Love,12-Apr,1986
Van Halen,5,3,17-May,Why Can't This Be Love,19-Apr,1986
Janet Jackson,6,4,17-May,What Have You Done for Me Lately,26-Apr,1986
The Outfield,4,6,10-May,Your Love,26-Apr,1986
Phil Collins,5,7,10-May,Take Me Home,26-Apr,1986
Whitney Houston,7,1,17-May,Greatest Love of All,3-May,1986
Miami Sound Machine,3,8,10-May,Bad Boy,10-May,1986
Orchestral Manoeuvres in the Dark,5,4,31-May,If You Leave,10-May,1986
Madonna,6,1,7-Jun,Live to Tell,17-May,1986
Patti LaBelle and Michael McDonald,7,1,14-Jun,On My Own,24-May,1986
Nu Shooz,5,3,14-Jun,I Can't Wait,24-May,1986
Mike + the Mechanics,4,5,7-Jun,All I Need Is a Miracle,24-May,1986
Level 42,3,7,31-May,Something About You,31-May,1986
Mr. Mister,1,8,31-May,Is It Love,31-May,1986
Journey,1,9,31-May,Be Good to Yourself,31-May,1986
The Jets,5,3,21-Jun,Crush on You,7-Jun,1986
Billy Ocean,7,1,5-Jul,There'll Be Sad Songs (To Make You Cry),7-Jun,1986
George Michael,4,7,14-Jun,A Different Corner,7-Jun,1986
Howard Jones,5,4,5-Jul,No One Is to Blame,14-Jun,1986
Simply Red,6,1,12-Jul,Holding Back the Years,21-Jun,1986
El DeBarge,5,3,5-Jul,Who's Johnny,21-Jun,1986
Heart,1,10,21-Jun,Nothin' at All,21-Jun,1986
Genesis,6,1,19-Jul,Invisible Touch,28-Jun,1986
Janet Jackson,6,3,19-Jul,Nasty,28-Jun,1986
Peter Gabriel,7,1,26-Jul,Sledgehammer,28-Jun,1986
Kenny Loggins,6,2,26-Jul,Danger Zone,5-Jul,1986
The Moody Blues,2,9,12-Jul,Your Wildest Dreams,12-Jul,1986
The Fabulous Thunderbirds,1,10,12-Jul,Tuff Enuff,12-Jul,1986
Peter Cetera,6,1,2-Aug,Glory of Love,19-Jul,1986
Rod Stewart,4,6,9-Aug,Love Touch,19-Jul,1986
Madonna,7,1,16-Aug,Papa Don't Preach,26-Jul,1986
Belinda Carlisle,6,3,9-Aug,Mad About You,26-Jul,1986
Billy Joel,1,10,26-Jul,Modern Woman,26-Jul,1986
Jermaine Stewart,4,5,9-Aug,We Don't Have to Take Our Clothes Off,2-Aug,1986
Pet Shop Boys,1,10,2-Aug,Opportunities (Let's Make Lots of Money),2-Aug,1986
Steve Winwood,6,1,30-Aug,Higher Love,9-Aug,1986
Bananarama,7,1,6-Sep,Venus,9-Aug,1986
Timex Social Club,4,8,16-Aug,Rumors,9-Aug,1986
Lionel Richie,8,2,13-Sep,Dancing on the Ceiling,16-Aug,1986
Berlin,7,1,13-Sep,Take My Breath Away,16-Aug,1986
Wham!,2,10,16-Aug,The Edge of Heaven,16-Aug,1986
Gloria Loring and Carl Anderson,7,2,27-Sep,Friends and Lovers,30-Aug,1986
Michael McDonald,3,7,30-Aug,Sweet Freedom,30-Aug,1986
Huey Lewis and the News,7,1,20-Sep,Stuck with You,30-Aug,1986
Miami Sound Machine,3,5,20-Sep,Words Get in the Way,6-Sep,1986
Run–D.M.C.,5,4,27-Sep,Walk This Way,6-Sep,1986
Regina,2,10,13-Sep,Baby Love,13-Sep,1986
Glass Tiger,5,2,11-Oct,Don't Forget Me (When I'm Gone),20-Sep,1986
Daryl Hall,4,5,4-Oct,Dreamtime,20-Sep,1986
Janet Jackson,6,1,11-Oct,When I Think of You,27-Sep,1986
Stacey Q,4,3,11-Oct,Two of Hearts,27-Sep,1986
Billy Ocean,1,10,27-Sep,Love Zone,27-Sep,1986
Genesis,4,4,11-Oct,Throwing It All Away,4-Oct,1986
Tina Turner,6,2,18-Oct,Typical Male,4-Oct,1986
Don Johnson,3,5,18-Oct,Heartbeat,11-Oct,1986
Cyndi Lauper,6,1,25-Oct,True Colors,11-Oct,1986
Robert Palmer,5,2,8-Nov,I Didn't Mean to Turn You On,18-Oct,1986
Lisa Lisa and Cult Jam,3,8,25-Oct,All Cried Out,18-Oct,1986
Billy Joel,1,10,18-Oct,A Matter of Trust,18-Oct,1986
Boston,6,1,8-Nov,Amanda,25-Oct,1986
The Human League,7,1,22-Nov,Human,25-Oct,1986
Anita Baker,2,8,1-Nov,Sweet Love,25-Oct,1986
Madonna,5,3,15-Nov,True Blue,1-Nov,1986
Eddie Money,4,4,15-Nov,Take Me Home Tonight,1-Nov,1986
Bon Jovi,6,1,29-Nov,You Give Love a Bad Name,8-Nov,1986
Cameo,5,6,22-Nov,Word Up!,8-Nov,1986
"Oran ""Juice"" Jones",2,9,15-Nov,The Rain,8-Nov,1986
