Artist,Number of weeks in top ten,Peak,Peak date,Title,Top ten entry date,Year,Unique Words,Total Words
Hall & Oates,13,1,18-Dec,Maneater,20-Nov,1982,94,352
Joe Jackson,8,6,11-Dec,Steppin' Out,20-Nov,1982,83,189
Stray Cats,5,9,11-Dec,Rock This Town,11-Dec,1982,113,384
Michael Jackson and Paul McCartney,10,2,8-Jan,The Girl Is Mine,27-Nov,1983,121,420
Don Henley,10,3,8-Jan,Dirty Laundry,4-Dec,1983,122,360
Marvin Gaye,10,3,29-Jan,Sexual Healing,11-Dec,1983,123,387
Men at Work,10,1,15-Jan,Down Under,25-Dec,1983,84,203
Toto,6,1,5-Feb,Africa,15-Jan,1983,109,285
Patti Austin and James Ingram,9,1,19-Feb,"Baby, Come to Me",15-Jan,1983,112,433
The Clash,5,8,22-Jan,Rock the Casbah,15-Jan,1983,131,312
Dionne Warwick,2,10,15-Jan,Heartbreaker,15-Jan,1983,103,325
Bob Seger & The Silver Bullet Band,8,2,26-Feb,Shame on the Moon,29-Jan,1983,86,191
Eddie Rabbitt and Crystal Gayle,6,7,12-Feb,You and I,29-Jan,1983,51,183
Phil Collins,3,10,5-Feb,You Can't Hurry Love,5-Feb,1983,102,340
Stray Cats,5,3,26-Feb,Stray Cat Strut,12-Feb,1983,92,224
Michael Jackson,11,1,5-Mar,Billie Jean,19-Feb,1983,131,541
Culture Club,9,2,26-Mar,Do You Really Want to Hurt Me,19-Feb,1983,93,253
Duran Duran,9,3,26-Mar,Hungry Like the Wolf,19-Feb,1983,88,383
Kenny Rogers and Sheena Easton,7,6,26-Mar,We've Got Tonight,26-Feb,1983,91,230
Musical Youth,2,10,26-Feb,Pass the Dutchie,26-Feb,1983,109,521
The Pretenders,5,5,19-Mar,Back on the Chain Gang,5-Mar,1983,91,208
Lionel Richie,4,4,26-Mar,You Are,12-Mar,1983,73,214
Journey,7,8,19-Mar,Separate Ways (Worlds Apart),12-Mar,1983,89,242
Hall & Oates,6,7,9-Apr,One on One,19-Mar,1983,89,236
Styx,8,3,16-Apr,Mr. Roboto,19-Mar,1983,131,404
Golden Earring,2,10,26-Mar,Twilight Zone,26-Mar,1983,124,517
Dexys Midnight Runners,6,1,23-Apr,Come On Eileen,9-Apr,1983,120,311
The Greg Kihn Band,7,2,7-May,Jeopardy,9-Apr,1983,76,219
Michael Jackson,10,1,30-Apr,Beat It,9-Apr,1983,90,324
After the Fire,5,5,30-Apr,Der Kommissar,16-Apr,1983,141,422
David Bowie,10,1,21-May,Let's Dance,23-Apr,1983,69,214
Thomas Dolby,8,5,14-May,She Blinded Me with Science,23-Apr,1983,76,260
Men at Work,8,3,4-Jun,Overkill,30-Apr,1983,70,179
Prince,6,6,21-May,Little Red Corvette,30-Apr,1983,139,455
Toto,1,10,7-May,I Won't Hold You Back,7-May,1983,66,215
Irene Cara,14,1,28-May,Flashdance... What a Feeling,14-May,1983,72,258
Laura Branigan,4,7,21-May,Solitaire,14-May,1983,104,257
Lionel Richie,5,5,11-Jun,My Love,21-May,1983,77,151
Culture Club,9,2,18-Jun,Time (Clock of the Heart),21-May,1983,69,318
Bryan Adams,2,10,28-May,Straight from the Heart,28-May,1983,74,246
Naked Eyes,2,8,11-Jun,Always Something There to Remind Me,11-Jun,1983,74,254
Styx,5,6,2-Jul,Don't Let It End,11-Jun,1983,104,289
Rick Springfield,3,9,18-Jun,Affair of the Heart,11-Jun,1983,99,320
Eddy Grant,8,2,2-Jul,Electric Avenue,18-Jun,1983,83,339
Hall & Oates,3,6,25-Jun,Family Man,18-Jun,1983,107,399
The Police,13,1,9-Jul,Every Breath You Take,25-Jun,1983,71,291
Sérgio Mendes,8,4,9-Jul,Never Gonna Let You Go,25-Jun,1983,113,443
Kajagoogoo,4,5,9-Jul,Too Shy,25-Jun,1983,48,202
Michael Jackson,6,5,16-Jul,Wanna Be Startin' Somethin',2-Jul,1983,145,874
The Tubes,1,10,2-Jul,She's a Beauty,2-Jul,1983,76,297
The Kinks,3,6,16-Jul,Come Dancing,9-Jul,1983,138,330
Madness,4,7,23-Jul,Our House,9-Jul,1983,120,341
Duran Duran,6,4,6-Aug,Is There Something I Should Know?,16-Jul,1983,113,321
Stevie Nicks,6,5,20-Aug,Stand Back,23-Jul,1983,98,375
Donna Summer,8,3,6-Aug,She Works Hard for the Money,23-Jul,1983,90,300
Eurythmics,9,1,3-Sep,Sweet Dreams (Are Made of This),30-Jul,1983,39,304
Michael Sembello,9,1,10-Sep,Maniac,6-Aug,1983,103,307
Men at Work,4,6,20-Aug,It's a Mistake,13-Aug,1983,100,269
The Human League,3,8,20-Aug,(Keep Feeling) Fascination,13-Aug,1983,76,103
Taco,6,4,3-Sep,Puttin' on the Ritz,20-Aug,1983,81,149
Culture Club,4,9,27-Aug,I'll Tumble 4 Ya,20-Aug,1983,78,197
David Bowie,1,10,27-Aug,China Girl,27-Aug,1983,91,251
Men Without Hats,7,3,10-Sep,The Safety Dance,3-Sep,1983,94,374
Billy Joel,7,1,24-Sep,Tell Her About It,3-Sep,1983,141,435
Michael Jackson,4,7,17-Sep,Human Nature,3-Sep,1983,86,329
Bonnie Tyler,11,1,1-Oct,Total Eclipse of the Heart,10-Sep,1983,132,678
Air Supply,9,2,8-Oct,Making Love Out of Nothing at All,17-Sep,1983,138,480
Asia,2,10,17-Sep,Don't Cry,17-Sep,1983,71,135
Stray Cats,4,5,1-Oct,(She's) Sexy + 17,24-Sep,1983,144,389
The Police,5,3,8-Oct,King of Pain,1-Oct,1983,113,446
Spandau Ballet,6,4,8-Oct,TRUE,1-Oct,1983,83,304
Kenny Rogers and Dolly Parton,12,1,29-Oct,Islands in the Stream,1-Oct,1983,118,360
Frank Stallone,2,10,1-Oct,Far from Over,1-Oct,1983,48,123
The Fixx,7,4,5-Nov,One Thing Leads to Another,8-Oct,1983,117,306
Lionel Richie,13,1,12-Nov,All Night Long (All Night),15-Oct,1983,97,378
Prince,4,8,22-Oct,Delirious,22-Oct,1983,89,229
Talking Heads,1,9,22-Oct,Burning Down the House,22-Oct,1983,132,205
Sheena Easton,3,9,29-Oct,Telefone (Long Distance Love Affair),22-Oct,1983,115,322
Billy Joel,10,3,12-Nov,Uptown Girl,29-Oct,1983,94,275
Paul McCartney and Michael Jackson,13,1,10-Dec,Say Say Say,5-Nov,1983,84,218
Quiet Riot,5,5,19-Nov,Cum on Feel the Noize,12-Nov,1983,72,354
The Motels,2,9,19-Nov,Suddenly Last Summer,12-Nov,1983,48,157
Pat Benatar,7,5,10-Dec,Love Is a Battlefield,19-Nov,1983,92,262
Hall & Oates,10,2,17-Dec,Say It Isn't So,19-Nov,1983,118,408
Huey Lewis and the News,2,8,26-Nov,Heart and Soul,26-Nov,1983,65,217
John Cougar Mellencamp,3,9,26-Nov,Crumblin' Down,26-Nov,1983,132,259
Michael Jackson,1,10,26-Nov,P.Y.T. (Pretty Young Thing),26-Nov,1983,115,466
Culture Club,3,10,3-Dec,Church of the Poison Mind,3-Dec,1983,71,385
Duran Duran,6,3,24-Dec,Union of the Snake,10-Dec,1983,68,120
The Rolling Stones,3,9,24-Dec,Undercover of the Night,24-Dec,1983,114,296
Yes,10,1,21-Jan,Owner of a Lonely Heart,17-Dec,1984,104,312
Olivia Newton-John,7,5,7-Jan,Twist of Fate,17-Dec,1984,94,317
Matthew Wilder,7,5,21-Jan,Break My Stride,24-Dec,1984,298,738
The Romantics,7,3,28-Jan,Talking in Your Sleep,7-Jan,1984,62,361
Elton John,6,4,28-Jan,I Guess That's Why They Call It the Blues,7-Jan,1984,92,319
Culture Club,9,1,4-Feb,Karma Chameleon,14-Jan,1984,73,340
Lionel Richie,5,7,4-Feb,Running with the Night,14-Jan,1984,75,180
Kool & the Gang,6,2,11-Feb,Joanna,21-Jan,1984,90,287
Genesis,4,6,11-Feb,That's All,28-Jan,1984,100,419
Christopher Cross,2,9,4-Feb,Think of Laura,4-Feb,1984,73,213
John Cougar Mellencamp,2,8,11-Feb,Pink Houses,4-Feb,1984,127,316
Van Halen,10,1,25-Feb,Jump,11-Feb,1984,61,190
Nena,6,2,3-Mar,99 Luftballons,18-Feb,1984,119,192
Michael Jackson,5,4,3-Mar,Thriller,18-Feb,1984,199,466
Cyndi Lauper,8,2,10-Mar,Girls Just Want to Have Fun,18-Feb,1984,75,252
Shannon,3,8,25-Feb,Let the Music Play,18-Feb,1984,98,334
John Lennon,4,5,3-Mar,Nobody Told Me,25-Feb,1984,92,247
The Police,2,8,3-Mar,Wrapped Around Your Finger,25-Feb,1984,83,171
Billy Joel,1,10,25-Feb,An Innocent Man,25-Feb,1984,171,407
Rockwell,8,2,24-Mar,Somebody's Watching Me,3-Mar,1984,109,336
Huey Lewis and the News,5,6,24-Mar,I Want a New Drug,3-Mar,1984,65,261
Eurythmics,7,4,31-Mar,Here Comes the Rain Again,10-Mar,1984,41,177
Kenny Loggins,11,1,31-Mar,Footloose,10-Mar,1984,113,271
Duran Duran,1,10,17-Mar,New Moon on Monday,17-Mar,1984,95,140
The Pointer Sisters,6,5,14-Apr,Automatic,24-Mar,1984,90,334
Hall & Oates,4,8,7-Apr,Adult Education,24-Mar,1984,143,357
Christine McVie,1,10,24-Mar,Got a Hold on Me,24-Mar,1984,55,261
Phil Collins,10,1,21-Apr,Against All Odds (Take a Look at Me Now),31-Mar,1984,91,281
Culture Club,6,5,21-Apr,Miss Me Blind,31-Mar,1984,80,506
Lionel Richie,10,1,12-May,Hello,7-Apr,1984,77,223
Thompson Twins,7,3,5-May,Hold Me Now,14-Apr,1984,115,291
Rick Springfield,5,5,5-May,Love Somebody,21-Apr,1984,102,283
Tracey Ullman,3,8,28-Apr,They Don't Know,21-Apr,1984,112,251
The Cars,4,7,28-Apr,You Might Think,28-Apr,1984,76,202
Julio Iglesias and Willie Nelson,6,5,19-May,To All the Girls I've Loved Before,28-Apr,1984,72,252
Deniece Williams,9,1,26-May,Let's Hear It for the Boy,5-May,1984,80,398
Cyndi Lauper,9,1,9-Jun,Time After Time,12-May,1984,82,276
Steve Perry,7,3,9-Jun,Oh Sherrie,12-May,1984,70,183
Duran Duran,8,1,23-Jun,The Reflex,26-May,1984,104,339
Night Ranger,4,5,9-Jun,Sister Christian,26-May,1984,74,203
Irene Cara,3,8,9-Jun,Breakdance,26-May,1984,83,124
Huey Lewis and the News,7,6,9-Jun,The Heart of Rock & Roll,2-Jun,1984,111,308
Laura Branigan,6,4,30-Jun,Self Control,9-Jun,1984,92,322
The Pointer Sisters,8,3,7-Jul,Jump (For My Love),9-Jun,1984,88,337
Bruce Springsteen,9,2,30-Jun,Dancing in the Dark,16-Jun,1984,127,341
Madonna,1,10,16-Jun,Borderline,16-Jun,1984,97,281
Prince,11,1,7-Jul,When Doves Cry,23-Jun,1984,91,358
Billy Idol,6,4,14-Jul,Eyes Without a Face,23-Jun,1984,127,309
Mike Reno and Ann Wilson,4,7,14-Jul,Almost Paradise...Love Theme from Footloose,30-Jun,1984,109,161
ZZ Top,4,8,21-Jul,Legs,7-Jul,1984,68,151
"Ray Parker, Jr.",10,1,11-Aug,Ghostbusters,14-Jul,1984,84,269
The Jacksons featuring Mick Jagger,6,3,4-Aug,State of Shock,21-Jul,1984,84,332
Elton John,5,5,11-Aug,Sad Songs (Say So Much),21-Jul,1984,106,407
Rod Stewart,4,6,28-Jul,Infatuation,21-Jul,1984,87,183
Tina Turner,10,1,1-Sep,What's Love Got to Do with It,28-Jul,1984,92,208
Lionel Richie,7,3,25-Aug,Stuck on You,4-Aug,1984,74,207
Ollie & Jerry,1,9,4-Aug,Breakin'... There's No Stopping Us,4-Aug,1984,73,246
Dan Hartman,4,6,18-Aug,I Can Dream About You,4-Aug,1984,90,320
Corey Hart,5,7,1-Sep,Sunglasses at Night,11-Aug,1984,71,337
John Waite,9,1,22-Sep,Missing You,18-Aug,1984,102,378
Peabo Bryson,3,10,18-Aug,If Ever You're in My Arms Again,18-Aug,1984,96,351
Cyndi Lauper,8,3,8-Sep,She Bop,25-Aug,1984,88,190
Prince and the Revolution,9,1,29-Sep,Let's Go Crazy,1-Sep,1984,154,374
Huey Lewis and the News,4,6,15-Sep,If This Is It,1-Sep,1984,93,322
Scandal featuring Patty Smyth,5,7,22-Sep,The Warrior,8-Sep,1984,89,274
The Cars,7,3,29-Sep,Drive,8-Sep,1984,47,157
Sheila E.,5,7,6-Oct,The Glamorous Life,15-Sep,1984,116,416
Stevie Wonder,10,1,13-Oct,I Just Called to Say I Love You,22-Sep,1984,101,289
Bananarama,2,9,29-Sep,Cruel Summer,22-Sep,1984,68,221
Bruce Springsteen,4,7,20-Oct,Cover Me,29-Sep,1984,77,169
Chicago,6,3,20-Oct,Hard Habit to Break,6-Oct,1984,118,255
Madonna,5,4,20-Oct,Lucky Star,6-Oct,1984,59,123
Billy Ocean,7,1,3-Nov,Caribbean Queen (No More Love on the Run),13-Oct,1984,83,225
John Cafferty and the Beaver Brown Band,3,7,27-Oct,On the Dark Side,20-Oct,1984,47,72
Prince and the Revolution,7,2,17-Nov,Purple Rain,20-Oct,1984,82,212
The Pointer Sisters,2,9,27-Oct,I'm So Excited,20-Oct,1984,87,360
Wham!,8,1,17-Nov,Wake Me Up Before You Go-Go,27-Oct,1984,128,447
Rod Stewart,1,10,27-Oct,Some Guys Have All the Luck,27-Oct,1984,117,222
David Bowie,2,8,3-Nov,Blue Jean,3-Nov,1984,79,134
Tina Turner,5,5,24-Nov,Better Be Good to Me,3-Nov,1984,90,224
Chaka Khan,9,3,24-Nov,I Feel for You,3-Nov,1984,80,447
Hall & Oates,9,1,8-Dec,Out of Touch,10-Nov,1984,86,264
Dennis DeYoung,1,10,10-Nov,Desert Moon,10-Nov,1984,114,249
Sheena Easton,3,7,24-Nov,Strut,17-Nov,1984,107,320
Cyndi Lauper,5,5,8-Dec,All Through the Night,17-Nov,1984,75,242
Lionel Richie,4,8,1-Dec,Penny Lover,17-Nov,1984,128,375
Duran Duran,8,2,15-Dec,The Wild Boys,1-Dec,1984,91,252
Paul McCartney,5,6,8-Dec,No More Lonely Nights,1-Dec,1984,75,216
Madonna,9,1,22-Dec,Like a Virgin,15-Dec,1984,96,242
Pat Benatar,7,5,5-Jan,We Belong,8-Dec,1985,103,331
New Edition,6,4,5-Jan,Cool It Now,8-Dec,1985,131,525
The Honeydrippers,6,3,5-Jan,Sea of Love,8-Dec,1985,30,126
Jack Wagner,6,2,12-Jan,All I Need,22-Dec,1985,89,238
Julian Lennon,4,9,12-Jan,Valotte,22-Dec,1985,110,283
Bryan Adams,4,6,19-Jan,Run to You,5-Jan,1985,77,203
Chicago,6,3,19-Jan,You're the Inspiration,5-Jan,1985,65,149
Bruce Springsteen,2,9,19-Jan,Born in the U.S.A.,12-Jan,1985,113,257
Foreigner,8,1,2-Feb,I Want to Know What Love Is,19-Jan,1985,95,353
Philip Bailey and Phil Collins,7,2,2-Feb,Easy Lover,19-Jan,1985,78,456
Wham! featuring George Michael,9,1,16-Feb,Careless Whisper,19-Jan,1985,115,375
Don Henley,4,5,9-Feb,The Boys of Summer,26-Jan,1985,122,317
Billy Ocean,6,2,23-Feb,Loverboy,26-Jan,1985,89,315
Prince and the Revolution,3,8,2-Feb,I Would Die 4 U,26-Jan,1985,71,237
Hall & Oates,4,5,16-Feb,Method of Modern Love,2-Feb,1985,82,138
The Pointer Sisters,6,6,16-Feb,Neutron Dance,2-Feb,1985,101,216
REO Speedwagon,8,1,9-Mar,Can't Fight This Feeling,16-Feb,1985,120,331
Glenn Frey,6,2,16-Mar,The Heat Is On,16-Feb,1985,69,302
David Lee Roth,5,3,2-Mar,California Girls,16-Feb,1985,85,243
Sheena Easton,3,9,2-Mar,Sugar Walls,23-Feb,1985,90,242
John Fogerty,1,10,2-Mar,The Old Man Down the Road,2-Mar,1985,66,170
Madonna,6,2,23-Mar,Material Girl,9-Mar,1985,87,206
Julian Lennon,5,5,23-Mar,Too Late for Goodbyes,9-Mar,1985,54,148
Kool & the Gang,1,10,9-Mar,Misled,9-Mar,1985,124,425
Phil Collins,6,1,30-Mar,One More Night,16-Mar,1985,81,301
Teena Marie,5,4,30-Mar,Lovergirl,16-Mar,1985,96,388
Tina Turner,3,7,23-Mar,Private Dancer,16-Mar,1985,76,427
Frankie Goes to Hollywood,2,10,16-Mar,Relax,16-Mar,1985,47,196
Survivor,2,8,23-Mar,High on You,23-Mar,1985,100,334
Journey,1,9,23-Mar,Only the Young,23-Mar,1985,62,102
USA for Africa,8,1,13-Apr,We Are the World,30-Mar,1985,111,699
Madonna,9,1,11-May,Crazy for You,30-Mar,1985,94,169
Commodores,6,3,20-Apr,Nightshift,30-Mar,1985,109,275
Bruce Springsteen,4,6,13-Apr,I'm on Fire,6-Apr,1985,70,122
DeBarge,7,3,27-Apr,Rhythm of the Night,6-Apr,1985,112,455
Animotion,5,6,4-May,Obsession,13-Apr,1985,90,442
Diana Ross,2,10,13-Apr,Missing You,13-Apr,1985,105,265
Simple Minds,8,1,18-May,Don't You (Forget About Me),20-Apr,1985,97,262
Murray Head,6,3,18-May,One Night in Bangkok,20-Apr,1985,194,440
The Power Station,5,6,11-May,Some Like It Hot,27-Apr,1985,61,322
Don Henley,2,9,4-May,All She Wants to Do Is Dance,27-Apr,1985,114,337
Sade,5,5,18-May,Smooth Operator,4-May,1985,104,216
Wham!,6,1,25-May,Everything She Wants,11-May,1985,97,319
Tears for Fears,8,1,8-Jun,Everybody Wants to Rule the World,11-May,1985,91,171
Harold Faltermeyer,5,3,1-Jun,Axel F,18-May,1985,9999,9999
Billy Ocean,4,4,8-Jun,Suddenly,25-May,1985,87,176
Howard Jones,6,5,15-Jun,Things Can Only Get Better,25-May,1985,77,241
Bryan Adams,6,1,22-Jun,Heaven,1-Jun,1985,107,318
Mary Jane Girls,5,7,8-Jun,In My House,1-Jun,1985,84,273
Kool & the Gang,2,9,8-Jun,Fresh,1-Jun,1985,450,813
Katrina and the Waves,3,9,22-Jun,Walking on Sunshine,8-Jun,1985,77,452
Phil Collins,6,1,6-Jul,Sussudio,15-Jun,1985,70,206
Madonna,4,5,29-Jun,Angel,15-Jun,1985,79,176
Prince and the Revolution,6,2,20-Jul,Raspberry Beret,22-Jun,1985,154,397
Duran Duran,6,1,13-Jul,A View to a Kill,22-Jun,1985,84,188
Survivor,5,4,13-Jul,The Search Is Over,22-Jun,1985,130,284
Eurythmics,4,5,13-Jul,Would I Lie to You?,29-Jun,1985,63,281
Whitney Houston,6,3,27-Jul,You Give Good Love,6-Jul,1985,66,117
Paul Young,8,1,27-Jul,Everytime You Go Away,6-Jul,1985,73,257
'Til Tuesday,2,8,13-Jul,Voices Carry,6-Jul,1985,81,218
Bruce Springsteen,5,5,3-Aug,Glory Days,13-Jul,1985,123,298
Cyndi Lauper,1,10,13-Jul,The Goonies 'R' Good Enough,13-Jul,1985,66,209
Sting,6,3,3-Aug,If You Love Somebody Set Them Free,20-Jul,1985,86,296
Tears for Fears,7,1,3-Aug,Shout,20-Jul,1985,78,308
Night Ranger,2,8,27-Jul,Sentimental Street,27-Jul,1985,117,357
Corey Hart,6,3,17-Aug,Never Surrender,27-Jul,1985,73,257
The Power Station,3,9,3-Aug,Get It On (Bang a Gong),27-Jul,1985,58,295
Huey Lewis and the News,8,1,24-Aug,The Power of Love,3-Aug,1985,102,319
DeBarge,3,6,10-Aug,Who's Holding Donna Now,3-Aug,1985,90,294
Aretha Franklin,6,3,31-Aug,Freeway of Love,10-Aug,1985,149,451
John Parr,7,1,7-Sep,St. Elmo's Fire (Man in Motion),17-Aug,1985,129,395
Bryan Adams,4,5,31-Aug,Summer of '69,17-Aug,1985,115,283
Tina Turner,6,2,14-Sep,We Don't Need Another Hero (Thunderdome),17-Aug,1985,91,197
Heart,1,10,24-Aug,What About Love,24-Aug,1985,73,212
Kool & the Gang,7,2,21-Sep,Cherish,31-Aug,1985,73,281
Billy Joel,2,9,31-Aug,You're Only Human (Second Wind),31-Aug,1985,157,332
Dire Straits,8,1,21-Sep,Money for Nothing,31-Aug,1985,101,463
Phil Collins,4,4,28-Sep,Don't Lose My Number,7-Sep,1985,99,377
Prince and the Revolution,3,7,21-Sep,Pop Life,7-Sep,1985,96,326
Wham!,4,3,28-Sep,Freedom,14-Sep,1985,102,427
Pat Benatar,1,10,14-Sep,Invincible (Theme from The Legend of Billie Jean),14-Sep,1985,70,257
Ready for the World,6,1,12-Oct,Oh Sheila,21-Sep,1985,102,359
Madonna,4,5,5-Oct,Dress You Up,21-Sep,1985,64,126
A-ha,7,1,19-Oct,Take On Me,28-Sep,1985,65,185
Whitney Houston,7,1,26-Oct,Saving All My Love for You,28-Sep,1985,98,248
John Cougar Mellencamp,5,6,12-Oct,Lonely Ol' Night,28-Sep,1985,88,261
Mick Jagger and David Bowie,3,7,12-Oct,Dancing in the Street,5-Oct,1985,101,321
Stevie Wonder,8,1,2-Nov,Part-Time Lover,5-Oct,1985,104,260
Jan Hammer,7,1,9-Nov,Miami Vice Theme,12-Oct,1985,9999,9999
Sting,3,8,26-Oct,Fortress Around Your Heart,19-Oct,1985,116,322
Tears for Fears,6,3,9-Nov,Head Over Heels,19-Oct,1985,125,304
Bruce Springsteen,1,9,26-Oct,I'm Goin' Down,26-Oct,1985,84,217
Glenn Frey,7,2,16-Nov,You Belong to the City,26-Oct,1985,108,298
Starship,7,1,16-Nov,We Built This City,2-Nov,1985,125,441
Loverboy,1,9,2-Nov,Lovin' Every Minute of It,2-Nov,1985,76,349
ABC,3,9,9-Nov,Be Near Me,2-Nov,1985,62,241
Phil Collins and Marilyn Martin,9,1,30-Nov,Separate Lives,9-Nov,1985,85,204
Thompson Twins,4,6,23-Nov,Lay Your Hands on Me,9-Nov,1985,95,326
Mr. Mister,9,1,7-Dec,Broken Wings,16-Nov,1985,77,285
Heart,5,4,7-Dec,Never,16-Nov,1985,87,301
Aretha Franklin,3,7,30-Nov,Who's Zoomin' Who,23-Nov,1985,110,478
Arcadia,6,6,14-Dec,Election Day,30-Nov,1985,136,279
Eddie Murphy,9,2,28-Dec,Party All the Time,30-Nov,1985,72,235
ZZ Top,4,8,14-Dec,Sleeping Bag,30-Nov,1985,77,157
Lionel Richie,9,1,21-Dec,"Say You, Say Me",7-Dec,1985,90,221
Simple Minds,6,3,28-Dec,Alive and Kicking,14-Dec,1985,92,323
Klymaxx,7,5,28-Dec,I Miss You,14-Dec,1985,95,261
John Cougar Mellencamp,5,6,28-Dec,Small Town,21-Dec,1985,94,221
Dionne and Friends,10,1,18-Jan,That's What Friends Are For,21-Dec,1986,88,310
The Cars,4,7,January 11[1],Tonight She Comes,28-Dec,1986,66,547
Stevie Nicks,5,4,25-Jan,Talk to Me,11-Jan,1986,121,319
Dire Straits,4,7,25-Jan,Walk of Life,11-Jan,1986,74,258
Survivor,6,2,1-Feb,Burning Heart,18-Jan,1986,94,249
Wham!,4,3,1-Feb,I'm Your Man,25-Jan,1986,125,394
Bruce Springsteen,2,6,25-Jan,My Hometown,25-Jan,1986,139,244
Paul McCartney,3,7,8-Feb,Spies Like Us,25-Jan,1986,83,252
Billy Ocean,5,2,15-Feb,"When the Going Gets Tough, the Tough Get Going",1-Feb,1986,93,360
Stevie Wonder,1,10,1-Feb,Go Home,1-Feb,1986,108,376
Whitney Houston,6,1,15-Feb,How Will I Know,8-Feb,1986,90,425
Mr. Mister,7,1,1-Mar,Kyrie,8-Feb,1986,81,315
James Brown,5,4,1-Mar,Living in America,8-Feb,1986,140,304
Miami Sound Machine,2,10,8-Feb,Conga,8-Feb,1986,80,345
Sade,4,5,1-Mar,The Sweetest Taboo,15-Feb,1986,68,282
Starship,7,1,15-Mar,Sara,15-Feb,1986,80,265
The Dream Academy,3,7,22-Feb,Life in a Northern Town,22-Feb,1986,96,263
Mike + the Mechanics,4,6,8-Mar,Silent Running (On Dangerous Ground),22-Feb,1986,83,270
Atlantic Starr,6,3,22-Mar,Secret Lovers,1-Mar,1986,139,351
Heart,6,1,22-Mar,These Dreams,1-Mar,1986,130,331
Thompson Twins,3,8,22-Mar,King for a Day,8-Mar,1986,91,383
John Cougar Mellencamp,5,2,5-Apr,R.O.C.K. in the U.S.A. (A Salute to 60's Rock),15-Mar,1986,94,198
Falco,7,1,29-Mar,Rock Me Amadeus,15-Mar,1986,70,247
Elton John,4,7,22-Mar,Nikita,15-Mar,1986,94,171
INXS,5,5,12-Apr,What You Need,22-Mar,1986,64,113
Prince and the Revolution,7,1,19-Apr,Kiss,22-Mar,1986,97,311
Sly Fox,4,7,12-Apr,Let's Go All the Way,29-Mar,1986,91,250
Loverboy,1,10,29-Mar,This Could Be the Night,29-Mar,1986,74,230
The Bangles,5,2,19-Apr,Manic Monday,5-Apr,1986,111,273
Robert Palmer,7,1,3-May,Addicted to Love,5-Apr,1986,90,397
Pet Shop Boys,7,1,10-May,West End Girls,12-Apr,1986,103,372
The Rolling Stones,5,5,3-May,Harlem Shuffle,12-Apr,1986,82,234
Force M.D.'s,2,10,12-Apr,Tender Love,12-Apr,1986,63,142
Van Halen,5,3,17-May,Why Can't This Be Love,19-Apr,1986,82,167
Janet Jackson,6,4,17-May,What Have You Done for Me Lately,26-Apr,1986,142,447
The Outfield,4,6,10-May,Your Love,26-Apr,1986,100,285
Phil Collins,5,7,10-May,Take Me Home,26-Apr,1986,87,317
Whitney Houston,7,1,17-May,Greatest Love of All,3-May,1986,101,308
Miami Sound Machine,3,8,10-May,Bad Boy,10-May,1986,49,321
Orchestral Manoeuvres in the Dark,5,4,31-May,If You Leave,10-May,1986,83,254
Madonna,6,1,7-Jun,Live to Tell,17-May,1986,90,178
Patti LaBelle and Michael McDonald,7,1,14-Jun,On My Own,24-May,1986,107,282
Nu Shooz,5,3,14-Jun,I Can't Wait,24-May,1986,71,247
Mike + the Mechanics,4,5,7-Jun,All I Need Is a Miracle,24-May,1986,84,331
Level 42,3,7,31-May,Something About You,31-May,1986,103,202
Mr. Mister,1,8,31-May,Is It Love,31-May,1986,69,237
Journey,1,9,31-May,Be Good to Yourself,31-May,1986,78,121
The Jets,5,3,21-Jun,Crush on You,7-Jun,1986,95,218
Billy Ocean,7,1,5-Jul,There'll Be Sad Songs (To Make You Cry),7-Jun,1986,84,290
George Michael,4,7,14-Jun,A Different Corner,7-Jun,1986,87,186
Howard Jones,5,4,5-Jul,No One Is to Blame,14-Jun,1986,79,243
Simply Red,6,1,12-Jul,Holding Back the Years,21-Jun,1986,62,182
El DeBarge,5,3,5-Jul,Who's Johnny,21-Jun,1986,93,226
Heart,1,10,21-Jun,Nothin' at All,21-Jun,1986,87,277
Genesis,6,1,19-Jul,Invisible Touch,28-Jun,1986,83,253
Janet Jackson,6,3,19-Jul,Nasty,28-Jun,1986,93,314
Peter Gabriel,7,1,26-Jul,Sledgehammer,28-Jun,1986,113,292
Kenny Loggins,6,2,26-Jul,Danger Zone,5-Jul,1986,69,208
The Moody Blues,2,9,12-Jul,Your Wildest Dreams,12-Jul,1986,66,224
The Fabulous Thunderbirds,1,10,12-Jul,Tuff Enuff,12-Jul,1986,91,276
Peter Cetera,6,1,2-Aug,Glory of Love,19-Jul,1986,95,269
Rod Stewart,4,6,9-Aug,Love Touch,19-Jul,1986,119,297
Madonna,7,1,16-Aug,Papa Don't Preach,26-Jul,1986,109,256
Belinda Carlisle,6,3,9-Aug,Mad About You,26-Jul,1986,55,88
Billy Joel,1,10,26-Jul,Modern Woman,26-Jul,1986,153,342
Jermaine Stewart,4,5,9-Aug,We Don't Have to Take Our Clothes Off,2-Aug,1986,113,565
Pet Shop Boys,1,10,2-Aug,Opportunities (Let's Make Lots of Money),2-Aug,1986,97,308
Steve Winwood,6,1,30-Aug,Higher Love,9-Aug,1986,104,280
Bananarama,7,1,6-Sep,Venus,9-Aug,1986,50,228
