Artist,Number of weeks in top ten,Peak,Peak date,Title,Top ten entry date,Year,Unique Words,Total Words
Della Reese,8,2,30-Nov,Don't You Know?,26-Oct,1959,45,101
Jerry Wallace,5,8,26-Oct,Primrose Lane,26-Oct,1959,40,113
Wink Martindale,5,7,2-Nov,Deck of Cards,26-Oct,1959,215,577
Paul Evans,2,9,9-Nov,Seven Little Girls Sitting in the Backseat,9-Nov,1959,79,180
Guy Mitchell,10,1,14-Dec,Heartaches by the Number,9-Nov,1959,66,227
Brook Benton,5,6,23-Nov,So Many Ways,16-Nov,1959,71,141
Ernie Fields,4,4,14-Dec,In the Mood,23-Nov,1959,96,206
Bobby Rydell,5,6,7-Dec,We Got Love,23-Nov,1959,79,220
Fats Domino,2,8,7-Dec,Be My Guest,30-Nov,1959,62,167
Neil Sedaka,1,9,7-Dec,Oh! Carol,7-Dec,1959,47,154
Conway Twitty,1,10,7-Dec,Danny Boy,7-Dec,1959,48,221
Frankie Avalon,9,1,28-Dec,Why,14-Dec,1959,51,163
Paul Anka,5,4,28-Dec,It's Time to Cry,14-Dec,1959,44,111
Miss Toni Fisher,8,3,28-Dec,The Big Hurt,14-Dec,1959,58,112
Connie Francis,5,7,28-Dec,Among My Souvenirs,21-Dec,1959,57,93
Fabian,2,9,28-Dec,Hound Dog Man,21-Dec,1959,85,322
Marty Robbins,9,1,4-Jan,El Paso,21-Dec,1960,210,479
Freddy Cannon,7,3,11-Jan,Way Down Yonder in New Orleans,21-Dec,1960,60,179
Steve Lawrence,6,9,4-Jan,Pretty Blue Eyes,28-Dec,1960,52,135
Jimmy Clanton,5,5,1-Feb,"Go, Jimmy, Go",4-Jan,1960,60,201
Johnny Preston,10,1,18-Jan,Running Bear,4-Jan,1960,87,226
Andy Williams,2,7,25-Jan,The Village of St. Bernadette,18-Jan,1960,59,125
Mark Dinning,10,1,8-Feb,Teen Angel,18-Jan,1960,78,121
Dion and the Belmonts,5,3,8-Feb,Where or When,25-Jan,1960,51,114
Jimmy Jones,9,2,29-Feb,Handy Man,1-Feb,1960,64,188
Conway Twitty,3,6,8-Feb,Lonely Blue Boy,8-Feb,1960,61,119
Jack Scott,7,5,22-Feb,What in the World's Come Over You,8-Feb,1960,68,196
Jim Reeves,12,2,7-Mar,He'll Have to Go,8-Feb,1960,69,162
Marv Johnson,1,10,8-Feb,You Got What It Takes,8-Feb,1960,75,306
Percy Faith,12,1,22-Feb,Theme from A Summer Place,15-Feb,1960,58,108
The Everly Brothers,4,7,22-Feb,Let It Be Me,15-Feb,1960,51,116
Bobby Darin,4,6,29-Feb,Beyond the Sea,22-Feb,1960,69,155
Bobby Rydell,8,2,28-Mar,Wild One,29-Feb,1960,57,235
Dinah Washington and Brook Benton,6,5,21-Mar,Baby (You've Got What It Takes),29-Feb,1960,97,287
The Platters,4,8,28-Mar,Harbor Lights,14-Mar,1960,61,138
Paul Anka,7,2,4-Apr,Puppy Love,14-Mar,1960,69,111
Brenda Lee,7,4,18-Apr,Sweet Nothin's,21-Mar,1960,67,153
Annette,1,10,28-Mar,"O, Dio Mio",28-Mar,1960,177,412
The Little Dippers,1,9,28-Mar,Forever,28-Mar,1960,9,22
Johnny Horton,7,3,25-Apr,Sink the Bismarck,4-Apr,1960,142,455
Steve Lawrence,2,7,4-Apr,Footsteps,4-Apr,1960,49,123
Connie Francis,3,8,11-Apr,Mama,4-Apr,1960,57,92
The Brothers Four,9,2,18-Apr,Greenfields,11-Apr,1960,97,177
Marv Johnson,1,9,11-Apr,I Love the Way You Love,11-Apr,1960,64,295
Elvis Presley,10,1,25-Apr,Stuck on You,18-Apr,1960,84,146
Connie Stevens,7,3,2-May,Sixteen Reasons,18-Apr,1960,74,132
The Browns,3,5,2-May,The Old Lamplighter,25-Apr,1960,95,186
Bill Black's Combo,1,9,25-Apr,White Silver Sands,25-Apr,1960,9999,9999
Jackie Wilson,6,4,9-May,Night,2-May,1960,35,81
Johnny Preston,5,7,2-May,Cradle of Love,2-May,1960,61,193
Billy Bland,4,7,16-May,Let the Little Girl Dance,2-May,1960,42,215
Neil Sedaka,1,9,9-May,Stairway to Heaven,9-May,1960,63,243
The Everly Brothers,9,1,23-May,Cathy's Clown,9-May,1960,63,167
Jimmy Jones,7,3,23-May,Good Timin',16-May,1960,78,266
Jeanne Black,6,4,30-May,He'll Have to Stay,16-May,1960,85,172
Anita Bryant,6,5,13-Jun,Paper Roses,23-May,1960,60,123
Jack Scott,6,3,13-Jun,Burning Bridges,30-May,1960,58,112
Connie Francis,8,1,27-Jun,Everybody's Somebody's Fool,6-Jun,1960,83,194
Ron Holden,3,7,13-Jun,Love You So,6-Jun,1960,71,134
Bobby Rydell,3,5,20-Jun,Swingin' School,13-Jun,1960,78,190
Paul Evans,1,10,13-Jun,Happy-Go-Lucky Me,13-Jun,1960,54,150
The Hollywood Argyles,8,1,11-Jul,Alley Oop,20-Jun,1960,111,311
Duane Eddy,4,4,4-Jul,Because They're Young,27-Jun,1960,9999,9999
Brenda Lee,11,1,18-Jul,I'm Sorry,27-Jun,1960,43,109
Dinah Washington and Brook Benton,3,7,27-Jun,A Rockin' Good Way,27-Jun,1960,91,384
Brenda Lee,5,6,4-Jul,That's All You Gotta Do,4-Jul,1960,69,273
Paul Anka,2,8,4-Jul,My Home Town,4-Jul,1960,68,154
The Fendermen,5,5,11-Jul,Mule Skinner Blues,4-Jul,1960,52,141
Roy Orbison,8,2,25-Jul,Only the Lonely,11-Jul,1960,54,116
The Everly Brothers,2,8,18-Jul,When Will I Be Loved,11-Jul,1960,37,99
Ray Peterson,5,7,1-Aug,Tell Laura I Love Her,18-Jul,1960,109,212
Brian Hyland,8,1,8-Aug,Itsy Bitsy Teenie Weenie Yellow Polka Dot Bikini,18-Jul,1960,80,303
The Safaris,5,6,1-Aug,Image of a Girl,25-Jul,1960,74,138
Hank Locklin,3,8,1-Aug,"Please Help Me, I'm Falling",25-Jul,1960,53,124
Elvis Presley,11,1,15-Aug,It's Now or Never,1-Aug,1960,79,167
The Ventures,9,2,29-Aug,"Walk, Don't Run",8-Aug,1960,9999,9999
Fats Domino,2,6,15-Aug,Walkin' to New Orleans,8-Aug,1960,65,156
Hank Ballard & The Midnighters,4,7,15-Aug,Finger Poppin' Time,15-Aug,1960,24,118
Chubby Checker,12,1,19-Sep,The Twist,15-Aug,1960,53,182
Bobby Rydell,5,4,5-Sep,Volare,22-Aug,1960,107,250
Donnie Brooks,4,7,5-Sep,Mission Bell,22-Aug,1960,82,193
Anita Bryant,1,10,29-Aug,In My Little Corner of the World,29-Aug,1960,47,128
Connie Francis,10,1,26-Sep,My Heart Has a Mind of Its Own,5-Sep,1960,77,163
Ferrante & Teicher,3,10,5-Sep,Theme from The Apartment,5-Sep,1960,134,244
Larry Verne,7,1,10-Oct,Mr. Custer,12-Sep,1960,146,301
Sam Cooke,8,2,3-Oct,Chain Gang,12-Sep,1960,72,234
Brook Benton,4,7,19-Sep,Kiddio,12-Sep,1960,77,216
The Ivy Three,2,8,19-Sep,Yogi,12-Sep,1960,263,545
Jimmy Charles,5,5,26-Sep,A Million to One,19-Sep,1960,56,131
The Everly Brothers,5,7,10-Oct,So Sad (To Watch Good Love Go Bad),26-Sep,1960,52,117
The Drifters,9,1,17-Oct,Save the Last Dance for Me,26-Sep,1960,91,251
Bobby Vee,5,6,17-Oct,Devil or Angel,10-Oct,1960,49,164
Brenda Lee,6,1,24-Oct,I Want to Be Wanted,10-Oct,1960,60,186
Bob Luman,2,7,24-Oct,Let's Think About Living,24-Oct,1960,100,228
Joe Jones,4,3,14-Nov,You Talk Too Much,31-Oct,1960,26,141
Johnny Tillotson,7,2,14-Nov,Poetry in Motion,31-Oct,1960,67,166
Ray Charles,5,1,14-Nov,Georgia on My Mind,31-Oct,1960,46,151
Maurice Williams & the Zodiacs,5,1,21-Nov,Stay,7-Nov,1960,48,135
Hank Ballard & the Midnighters,5,6,21-Nov,"Let's Go, Let's Go, Let's Go",7-Nov,1960,77,357
Roy Orbison,2,9,7-Nov,Blue Angel,7-Nov,1960,81,188
Floyd Cramer,10,2,28-Nov,Last Date,14-Nov,1960,91,146
Kathy Young with the Innocents,8,3,12-Dec,A Thousand Stars,14-Nov,1960,57,193
Elvis Presley,11,1,28-Nov,Are You Lonesome Tonight?,21-Nov,1960,117,228
U.S. Bonds,3,6,28-Nov,New Orleans,21-Nov,1960,83,225
Johnny Horton,8,4,19-Dec,North to Alaska,28-Nov,1960,114,312
Jackie Wilson,1,8,28-Nov,Alone at Last,28-Nov,1960,42,116
Jerry Butler,3,7,5-Dec,He Will Break Your Heart,5-Dec,1960,86,219
Lolita,4,5,19-Dec,Sailor,5-Dec,1960,36,43
Connie Francis,4,7,26-Dec,Many Tears Ago,12-Dec,1960,60,185
Johnny Burnette,4,8,26-Dec,You're Sixteen,19-Dec,1960,56,166
Bert Kaempfert,10,1,9-Jan,Wonderland by Night,12-Dec,1961,49,58
Ferrante & Teicher,11,2,23-Jan,Exodus,12-Dec,1961,58,126
Ray Peterson,5,9,9-Jan,"Corrina, Corinna",26-Dec,1961,44,142
Rosie and the Originals,7,5,23-Jan,Angel Baby,December 31[1],1961,71,174
The Shirelles,7,1,30-Jan,Will You Love Me Tomorrow,9-Jan,1961,65,134
Bobby Vee,5,6,9-Jan,Rubber Ball,9-Jan,1961,71,304
Lawrence Welk,9,1,13-Feb,Calcutta,16-Jan,1961,9999,9999
The Miracles,6,2,20-Feb,Shop Around,23-Jan,1961,116,356
Neil Sedaka,5,4,13-Feb,Calendar Girl,23-Jan,1961,85,296
Brenda Lee,4,7,13-Feb,Emotions,30-Jan,1961,64,113
Jackie Wilson,1,9,6-Feb,My Empty Arms,6-Feb,1961,49,92
